Date,Open,High,Low,Close,index
2003-05-21,823.3,835.6,823.3,830.4,NSE/CNXMIDCAP200
2003-05-22,832.1,841.85,832.1,836.1,NSE/CNXMIDCAP200
2003-05-23,841.85,846.3,840.15,844.6,NSE/CNXMIDCAP200
2003-05-26,847.1,862.0,845.25,860.85,NSE/CNXMIDCAP200
2003-05-27,863.3,873.4,857.75,858.05,NSE/CNXMIDCAP200
2003-05-28,862.7,865.8,856.55,864.65,NSE/CNXMIDCAP200
2003-05-29,867.4,881.95,867.25,876.45,NSE/CNXMIDCAP200
2003-05-30,879.75,895.3,879.75,887.85,NSE/CNXMIDCAP200
2003-06-02,878.2,890.9,872.9,880.3,NSE/CNXMIDCAP200
2003-06-03,882.2,888.7,878.4,883.2,NSE/CNXMIDCAP200
2003-06-04,886.25,899.55,886.25,895.0,NSE/CNXMIDCAP200
2003-06-05,900.3,907.0,888.15,890.65,NSE/CNXMIDCAP200
2003-06-06,891.2,896.35,888.2,891.95,NSE/CNXMIDCAP200
2003-06-09,893.85,907.7,893.85,906.35,NSE/CNXMIDCAP200
2003-06-10,905.85,912.0,888.55,889.95,NSE/CNXMIDCAP200
2003-06-11,891.95,903.9,891.45,898.4,NSE/CNXMIDCAP200
2003-06-12,904.05,914.7,904.05,907.6,NSE/CNXMIDCAP200
2003-06-13,909.6,911.6,902.1,903.2,NSE/CNXMIDCAP200
2003-06-16,903.25,905.6,896.9,900.6,NSE/CNXMIDCAP200
2003-06-17,904.1,917.6,904.1,915.25,NSE/CNXMIDCAP200
2003-06-18,916.45,924.8,914.05,915.3,NSE/CNXMIDCAP200
2003-06-19,917.95,925.75,915.15,919.1,NSE/CNXMIDCAP200
2003-06-20,918.9,926.05,918.9,924.6,NSE/CNXMIDCAP200
2003-06-23,929.55,937.65,921.45,922.25,NSE/CNXMIDCAP200
2003-06-24,920.2,929.3,920.2,927.95,NSE/CNXMIDCAP200
2003-06-25,932.7,944.05,932.7,942.4,NSE/CNXMIDCAP200
2003-06-26,946.8,951.3,945.05,946.3,NSE/CNXMIDCAP200
2003-06-27,948.9,960.65,942.65,959.55,NSE/CNXMIDCAP200
2003-06-30,963.9,983.6,963.9,976.3,NSE/CNXMIDCAP200
2003-07-01,979.1,987.15,972.7,981.55,NSE/CNXMIDCAP200
2003-07-02,982.45,1008.8,982.45,998.55,NSE/CNXMIDCAP200
2003-07-03,1007.3,1021.3,1002.85,1012.5,NSE/CNXMIDCAP200
2003-07-04,1017.8,1023.25,1010.9,1015.3,NSE/CNXMIDCAP200
2003-07-07,1022.2,1034.5,1019.4,1030.55,NSE/CNXMIDCAP200
2003-07-08,1038.7,1042.65,1022.1,1024.45,NSE/CNXMIDCAP200
2003-07-09,1025.55,1029.8,1001.95,1004.6,NSE/CNXMIDCAP200
2003-07-10,1005.7,1014.3,1005.7,1009.2,NSE/CNXMIDCAP200
2003-07-11,1012.75,1026.65,1012.75,1015.9,NSE/CNXMIDCAP200
2003-07-14,1023.8,1034.05,1023.8,1030.95,NSE/CNXMIDCAP200
2003-07-15,1030.8,1034.7,1001.35,1013.65,NSE/CNXMIDCAP200
2003-07-16,1016.55,1030.05,1010.8,1029.35,NSE/CNXMIDCAP200
2003-07-17,1031.7,1044.55,1010.5,1013.9,NSE/CNXMIDCAP200
2003-07-18,1009.4,1018.15,994.85,1003.4,NSE/CNXMIDCAP200
2003-07-21,1009.85,1014.0,988.3,990.6,NSE/CNXMIDCAP200
2003-07-22,989.25,991.15,973.4,975.05,NSE/CNXMIDCAP200
2003-07-23,981.15,993.6,978.7,984.8,NSE/CNXMIDCAP200
2003-07-24,987.75,1000.45,987.75,999.1,NSE/CNXMIDCAP200
2003-07-25,1003.05,1020.8,1003.05,1019.8,NSE/CNXMIDCAP200
2003-07-28,1025.75,1039.5,1025.75,1029.9,NSE/CNXMIDCAP200
2003-07-29,1031.1,1035.0,1021.2,1033.0,NSE/CNXMIDCAP200
2003-07-30,1033.45,1051.3,1033.45,1050.5,NSE/CNXMIDCAP200
2003-07-31,1053.95,1062.75,1045.8,1048.35,NSE/CNXMIDCAP200
2003-08-01,1050.8,1058.65,1043.85,1056.3,NSE/CNXMIDCAP200
2003-08-04,1056.25,1079.3,1054.05,1077.9,NSE/CNXMIDCAP200
2003-08-05,1079.15,1097.3,1056.1,1057.1,NSE/CNXMIDCAP200
2003-08-06,1053.35,1068.05,1045.9,1051.05,NSE/CNXMIDCAP200
