Date,Close,SharesTraded,Turnover,index
2008-12-17,1739.18,,,NSE/CNXLOWVOLATILITY
2008-12-18,1787.71,,,NSE/CNXLOWVOLATILITY
2008-12-19,1802.22,,,NSE/CNXLOWVOLATILITY
2008-12-22,1787.15,,,NSE/CNXLOWVOLATILITY
2008-12-23,1757.26,,,NSE/CNXLOWVOLATILITY
2008-12-24,1735.81,,,NSE/CNXLOWVOLATILITY
2008-12-26,1716.34,,,NSE/CNXLOWVOLATILITY
2008-12-29,1736.55,,,NSE/CNXLOWVOLATILITY
2008-12-30,1765.03,,,NSE/CNXLOWVOLATILITY
2008-12-31,1766.96,,,NSE/CNXLOWVOLATILITY
2009-01-01,1798.06,,,NSE/CNXLOWVOLATILITY
2009-01-02,1812.72,,,NSE/CNXLOWVOLATILITY
2009-01-05,1838.38,,,NSE/CNXLOWVOLATILITY
2009-01-06,1852.74,,,NSE/CNXLOWVOLATILITY
2009-01-07,1791.38,,,NSE/CNXLOWVOLATILITY
2009-01-09,1797.47,,,NSE/CNXLOWVOLATILITY
2009-01-12,1769.34,,,NSE/CNXLOWVOLATILITY
2009-01-13,1767.19,,,NSE/CNXLOWVOLATILITY
2009-01-14,1787.23,,,NSE/CNXLOWVOLATILITY
2009-01-15,1758.56,,,NSE/CNXLOWVOLATILITY
2009-01-16,1779.99,,,NSE/CNXLOWVOLATILITY
2009-01-19,1778.03,,,NSE/CNXLOWVOLATILITY
2009-01-20,1765.39,,,NSE/CNXLOWVOLATILITY
2009-01-21,1736.41,,,NSE/CNXLOWVOLATILITY
2009-01-22,1718.54,,,NSE/CNXLOWVOLATILITY
2009-01-23,1708.01,,,NSE/CNXLOWVOLATILITY
2009-01-27,1724.64,,,NSE/CNXLOWVOLATILITY
2009-01-28,1747.32,,,NSE/CNXLOWVOLATILITY
2009-01-29,1744.08,,,NSE/CNXLOWVOLATILITY
2009-01-30,1754.6,,,NSE/CNXLOWVOLATILITY
2009-02-02,1730.61,,,NSE/CNXLOWVOLATILITY
2009-02-03,1732.96,,,NSE/CNXLOWVOLATILITY
2009-02-04,1736.3,,,NSE/CNXLOWVOLATILITY
2009-02-05,1722.28,,,NSE/CNXLOWVOLATILITY
2009-02-06,1747.92,,,NSE/CNXLOWVOLATILITY
2009-02-09,1768.25,,,NSE/CNXLOWVOLATILITY
2009-02-10,1781.4,,,NSE/CNXLOWVOLATILITY
2009-02-11,1776.73,,,NSE/CNXLOWVOLATILITY
2009-02-12,1768.29,,,NSE/CNXLOWVOLATILITY
2009-02-13,1788.07,,,NSE/CNXLOWVOLATILITY
2009-02-16,1753.4,,,NSE/CNXLOWVOLATILITY
2009-02-17,1726.34,,,NSE/CNXLOWVOLATILITY
2009-02-18,1727.13,,,NSE/CNXLOWVOLATILITY
2009-02-19,1734.46,,,NSE/CNXLOWVOLATILITY
2009-02-20,1718.54,,,NSE/CNXLOWVOLATILITY
2009-02-24,1713.77,,,NSE/CNXLOWVOLATILITY
2009-02-25,1726.02,,,NSE/CNXLOWVOLATILITY
2009-02-26,1735.3,,,NSE/CNXLOWVOLATILITY
2009-02-27,1728.75,,,NSE/CNXLOWVOLATILITY
2009-03-02,1701.64,,,NSE/CNXLOWVOLATILITY
2009-03-03,1677.79,,,NSE/CNXLOWVOLATILITY
2009-03-04,1692.7,,,NSE/CNXLOWVOLATILITY
2009-03-05,1669.08,,,NSE/CNXLOWVOLATILITY
2009-03-06,1678.63,,,NSE/CNXLOWVOLATILITY
2009-03-09,1661.87,,,NSE/CNXLOWVOLATILITY
2009-03-12,1679.89,,,NSE/CNXLOWVOLATILITY
2009-03-13,1713.83,,,NSE/CNXLOWVOLATILITY
2009-03-16,1737.9,,,NSE/CNXLOWVOLATILITY
2009-03-17,1733.28,,,NSE/CNXLOWVOLATILITY
2009-03-18,1750.84,,,NSE/CNXLOWVOLATILITY
2009-03-19,1754.8,,,NSE/CNXLOWVOLATILITY
2009-03-20,1749.58,,,NSE/CNXLOWVOLATILITY
2009-03-23,1793.25,,,NSE/CNXLOWVOLATILITY
2009-03-24,1796.01,,,NSE/CNXLOWVOLATILITY
2009-03-25,1805.28,,,NSE/CNXLOWVOLATILITY
2009-03-26,1847.72,,,NSE/CNXLOWVOLATILITY
2009-03-27,1873.67,,,NSE/CNXLOWVOLATILITY
2009-03-30,1844.42,,,NSE/CNXLOWVOLATILITY
2009-03-31,1880.23,,,NSE/CNXLOWVOLATILITY
