Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2010-09-01,11825.8,11999.0,11825.8,11983.2,61758026.0,1758.94,NSE/CNX_NIFTY_JUNIOR
2010-09-02,12021.35,12100.6,12015.25,12038.8,62627663.0,1619.34,NSE/CNX_NIFTY_JUNIOR
2010-09-03,12014.3,12110.35,12014.3,12078.6,60584549.0,1509.29,NSE/CNX_NIFTY_JUNIOR
2010-09-06,12126.2,12259.2,12126.2,12239.6,55446794.0,1649.23,NSE/CNX_NIFTY_JUNIOR
2010-09-07,12268.1,12317.5,12207.4,12231.85,57845105.0,1664.4,NSE/CNX_NIFTY_JUNIOR
2010-09-08,12199.45,12269.6,12144.8,12229.75,65167798.0,1602.09,NSE/CNX_NIFTY_JUNIOR
2010-09-09,12257.15,12335.4,12229.15,12295.35,72212638.0,1902.65,NSE/CNX_NIFTY_JUNIOR
2010-09-13,12342.05,12520.4,12342.05,12509.35,75812745.0,1991.85,NSE/CNX_NIFTY_JUNIOR
2010-09-14,12555.85,12598.75,12439.05,12483.4,93298789.0,2342.33,NSE/CNX_NIFTY_JUNIOR
2010-09-15,12478.5,12588.3,12477.15,12539.5,89955014.0,2347.5,NSE/CNX_NIFTY_JUNIOR
2010-09-16,12513.0,12585.45,12365.6,12398.3,78546016.0,2027.44,NSE/CNX_NIFTY_JUNIOR
2010-09-17,12428.0,12606.5,12428.0,12583.3,80967436.0,2033.48,NSE/CNX_NIFTY_JUNIOR
2010-09-20,12545.9,12706.55,12545.9,12697.15,81140101.0,2038.32,NSE/CNX_NIFTY_JUNIOR
2010-09-21,12729.3,12773.25,12564.9,12644.6,106390327.0,2360.48,NSE/CNX_NIFTY_JUNIOR
2010-09-22,12665.4,12719.85,12506.6,12609.45,95463813.0,2315.08,NSE/CNX_NIFTY_JUNIOR
2010-09-23,12637.05,12660.5,12530.75,12590.6,92501275.0,2164.68,NSE/CNX_NIFTY_JUNIOR
2010-09-24,12581.5,12707.5,12566.3,12691.3,87458937.0,2130.74,NSE/CNX_NIFTY_JUNIOR
2010-09-27,12739.7,12776.45,12701.45,12725.8,77908691.0,2054.66,NSE/CNX_NIFTY_JUNIOR
2010-09-28,12730.3,12767.8,12667.0,12745.45,75320522.0,2088.1,NSE/CNX_NIFTY_JUNIOR
2010-09-29,12741.2,12811.85,12677.4,12707.85,70465157.0,2290.18,NSE/CNX_NIFTY_JUNIOR
2010-09-30,12711.5,12714.5,12564.85,12585.3,96972423.0,3030.87,NSE/CNX_NIFTY_JUNIOR
2010-10-01,12604.9,12857.55,12604.9,12846.35,133783990.0,2377.34,NSE/CNX_NIFTY_JUNIOR
2010-10-04,12874.25,13022.0,12874.25,12997.0,124802811.0,2504.59,NSE/CNX_NIFTY_JUNIOR
2010-10-05,13019.6,13092.15,13001.35,13038.15,94178238.0,2089.53,NSE/CNX_NIFTY_JUNIOR
2010-10-06,13058.55,13222.8,13058.55,13187.35,106996585.0,2680.42,NSE/CNX_NIFTY_JUNIOR
2010-10-07,13214.35,13328.1,13064.8,13125.95,157896933.0,3151.43,NSE/CNX_NIFTY_JUNIOR
2010-10-08,13158.35,13216.2,12978.55,13066.45,134617603.0,2757.6,NSE/CNX_NIFTY_JUNIOR
2010-10-11,13097.1,13226.95,13097.1,13210.0,86569204.0,2002.89,NSE/CNX_NIFTY_JUNIOR
2010-10-12,13217.5,13243.2,12985.35,13071.55,95077696.0,1917.19,NSE/CNX_NIFTY_JUNIOR
2010-10-13,13110.9,13205.9,13100.5,13200.6,85348079.0,2033.24,NSE/CNX_NIFTY_JUNIOR
2010-10-14,13208.1,13297.0,13130.45,13183.3,85888401.0,2245.2,NSE/CNX_NIFTY_JUNIOR
2010-10-15,13224.1,13246.3,12928.35,12953.7,75459945.0,1848.97,NSE/CNX_NIFTY_JUNIOR
2010-10-18,13015.85,13015.85,12752.55,12955.8,77610987.0,2109.18,NSE/CNX_NIFTY_JUNIOR
2010-10-19,13014.5,13092.4,12912.35,12942.35,83740908.0,2407.64,NSE/CNX_NIFTY_JUNIOR
2010-10-20,12920.1,12980.35,12857.55,12927.0,78419001.0,1989.34,NSE/CNX_NIFTY_JUNIOR
2010-10-21,12944.3,13179.7,12944.3,13166.3,93616505.0,2385.19,NSE/CNX_NIFTY_JUNIOR
2010-10-22,13201.25,13239.2,13082.5,13182.45,84196222.0,2252.7,NSE/CNX_NIFTY_JUNIOR
2010-10-25,13221.15,13277.5,13152.0,13168.75,69360515.0,1742.39,NSE/CNX_NIFTY_JUNIOR
2010-10-26,13166.2,13221.45,13128.65,13149.65,63276670.0,1680.79,NSE/CNX_NIFTY_JUNIOR
2010-10-27,13159.6,13232.0,13058.45,13107.45,94319264.0,2527.04,NSE/CNX_NIFTY_JUNIOR
2010-10-28,13163.3,13176.1,13004.1,13037.3,127342268.0,3761.89,NSE/CNX_NIFTY_JUNIOR
2010-10-29,13039.95,13103.65,12880.15,13030.0,86784254.0,2258.6,NSE/CNX_NIFTY_JUNIOR
2010-11-01,13111.35,13223.8,13111.35,13207.85,62492211.0,1685.42,NSE/CNX_NIFTY_JUNIOR
2010-11-02,13208.75,13325.45,13182.1,13307.9,71864072.0,1826.91,NSE/CNX_NIFTY_JUNIOR
2010-11-03,13309.8,13433.05,13309.8,13352.7,66541905.0,1761.62,NSE/CNX_NIFTY_JUNIOR
2010-11-04,13384.0,13463.55,13384.0,13456.5,71084860.0,1670.7,NSE/CNX_NIFTY_JUNIOR
2010-11-05,13461.6,13557.25,13461.6,13503.85,15170928.0,280.7,NSE/CNX_NIFTY_JUNIOR
2010-11-08,13532.05,13532.05,13407.55,13476.5,81148890.0,1726.53,NSE/CNX_NIFTY_JUNIOR
2010-11-09,13475.8,13577.2,13465.05,13555.15,89493161.0,2123.68,NSE/CNX_NIFTY_JUNIOR
2010-11-10,13566.5,13601.45,13507.2,13524.55,76638258.0,1710.49,NSE/CNX_NIFTY_JUNIOR
2010-11-11,13556.85,13624.1,13292.5,13317.45,73919384.0,1890.34,NSE/CNX_NIFTY_JUNIOR
2010-11-12,13290.2,13386.4,12988.2,13016.2,80506619.0,1894.67,NSE/CNX_NIFTY_JUNIOR
2010-11-15,13006.65,13118.9,12906.1,13095.5,67367346.0,1627.42,NSE/CNX_NIFTY_JUNIOR
2010-11-16,13104.9,13196.3,12812.7,12858.85,88599077.0,1943.18,NSE/CNX_NIFTY_JUNIOR
2010-11-18,12885.85,13020.05,12574.5,12906.75,113911013.0,2428.4,NSE/CNX_NIFTY_JUNIOR
2010-11-19,12912.35,12941.2,12626.2,12671.5,85215200.0,1777.52,NSE/CNX_NIFTY_JUNIOR
2010-11-22,12739.35,12885.5,12619.65,12870.5,69273577.0,1639.56,NSE/CNX_NIFTY_JUNIOR
2010-11-23,12817.0,12817.0,12479.55,12743.7,90476199.0,2201.46,NSE/CNX_NIFTY_JUNIOR
2010-11-24,12742.4,12857.9,12438.05,12505.5,84066369.0,2865.05,NSE/CNX_NIFTY_JUNIOR
2010-11-25,12481.95,12530.65,12089.05,12129.8,167013214.0,6275.45,NSE/CNX_NIFTY_JUNIOR
2010-11-26,12134.35,12195.0,11371.4,11846.8,205015848.0,4638.91,NSE/CNX_NIFTY_JUNIOR
2010-11-29,11847.1,12093.05,11783.15,12057.6,117523039.0,2958.87,NSE/CNX_NIFTY_JUNIOR
2010-11-30,12061.8,12364.9,11989.8,12338.8,148626404.0,4789.76,NSE/CNX_NIFTY_JUNIOR
2010-12-01,12344.5,12653.7,12328.6,12637.3,97475856.0,2538.86,NSE/CNX_NIFTY_JUNIOR
2010-12-02,12706.9,12846.15,12640.85,12683.9,88706417.0,2308.71,NSE/CNX_NIFTY_JUNIOR
2010-12-03,12694.9,12728.5,12431.75,12500.15,83516813.0,1933.28,NSE/CNX_NIFTY_JUNIOR
2010-12-06,12525.8,12610.15,12385.25,12405.0,61594855.0,1595.03,NSE/CNX_NIFTY_JUNIOR
2010-12-07,12404.7,12437.7,12178.2,12248.3,78301284.0,2027.19,NSE/CNX_NIFTY_JUNIOR
2010-12-08,12218.45,12218.45,12002.2,12029.45,77262700.0,1796.55,NSE/CNX_NIFTY_JUNIOR
2010-12-09,12054.1,12062.85,11540.15,11620.7,96606605.0,2190.01,NSE/CNX_NIFTY_JUNIOR
2010-12-10,11606.0,11824.05,11470.35,11763.1,105116943.0,2609.45,NSE/CNX_NIFTY_JUNIOR
2010-12-13,11816.35,11980.65,11796.05,11968.15,83607330.0,1871.79,NSE/CNX_NIFTY_JUNIOR
2010-12-14,11989.55,12160.5,11982.25,12142.05,67416403.0,1527.12,NSE/CNX_NIFTY_JUNIOR
2010-12-15,12150.75,12159.7,11894.4,11959.55,64305369.0,1493.87,NSE/CNX_NIFTY_JUNIOR
2010-12-16,11970.9,12014.6,11849.2,11991.4,73360870.0,1597.27,NSE/CNX_NIFTY_JUNIOR
2010-12-20,11973.75,12028.1,11910.7,11967.65,72730736.0,1447.04,NSE/CNX_NIFTY_JUNIOR
2010-12-21,11972.7,12106.95,11972.7,12095.2,63716174.0,1649.94,NSE/CNX_NIFTY_JUNIOR
2010-12-22,12116.75,12190.85,12041.2,12093.0,77979519.0,1626.29,NSE/CNX_NIFTY_JUNIOR
2010-12-23,12105.2,12154.2,12000.7,12014.45,57092221.0,1249.94,NSE/CNX_NIFTY_JUNIOR
2010-12-24,12013.1,12013.1,11938.05,11984.85,49990258.0,1043.69,NSE/CNX_NIFTY_JUNIOR
2010-12-27,12002.15,12037.65,11910.45,11925.95,40475011.0,889.06,NSE/CNX_NIFTY_JUNIOR
2010-12-28,11929.0,11947.9,11889.45,11914.15,37364964.0,880.74,NSE/CNX_NIFTY_JUNIOR
2010-12-29,11921.15,12022.95,11921.15,12016.35,45871524.0,1055.11,NSE/CNX_NIFTY_JUNIOR
2010-12-30,12038.15,12104.25,12019.7,12089.4,74629756.0,1613.38,NSE/CNX_NIFTY_JUNIOR
2010-12-31,12107.3,12242.7,12107.3,12232.05,68276184.0,1340.67,NSE/CNX_NIFTY_JUNIOR
2011-01-03,12253.15,12352.4,12251.5,12261.0,56933338.0,1090.44,NSE/CNX_NIFTY_JUNIOR
2011-01-04,12278.45,12338.25,12180.6,12205.1,62022054.0,1279.7,NSE/CNX_NIFTY_JUNIOR
2011-01-05,12199.65,12214.85,12022.75,12063.5,64807244.0,1397.9,NSE/CNX_NIFTY_JUNIOR
2011-01-06,12089.2,12144.7,11860.9,11874.0,81321224.0,2070.17,NSE/CNX_NIFTY_JUNIOR
2011-01-07,11862.35,11865.1,11618.15,11642.0,91085134.0,1847.0,NSE/CNX_NIFTY_JUNIOR
2011-01-10,11643.05,11700.65,11308.35,11331.15,82768019.0,1765.93,NSE/CNX_NIFTY_JUNIOR
2011-01-11,11333.9,11457.4,11211.2,11321.8,85660328.0,1887.6,NSE/CNX_NIFTY_JUNIOR
2011-01-12,11323.15,11513.85,11254.5,11501.4,94018772.0,1904.26,NSE/CNX_NIFTY_JUNIOR
2011-01-13,11502.1,11633.9,11422.2,11460.9,92859684.0,2006.58,NSE/CNX_NIFTY_JUNIOR
2011-01-14,11446.0,11502.3,11268.25,11293.9,73135456.0,1424.47,NSE/CNX_NIFTY_JUNIOR
2011-01-17,11317.95,11317.95,11184.95,11209.5,77304856.0,1521.25,NSE/CNX_NIFTY_JUNIOR
2011-01-18,11255.8,11328.8,11189.15,11255.5,87169740.0,1750.32,NSE/CNX_NIFTY_JUNIOR
2011-01-19,11266.75,11373.5,11259.65,11326.2,95070803.0,2008.5,NSE/CNX_NIFTY_JUNIOR
2011-01-20,11298.35,11374.9,11229.65,11352.35,91055794.0,1893.12,NSE/CNX_NIFTY_JUNIOR
2011-01-21,11343.0,11457.7,11331.75,11403.65,92164399.0,1942.18,NSE/CNX_NIFTY_JUNIOR
2011-01-24,11407.85,11510.7,11407.85,11484.55,79530111.0,1534.18,NSE/CNX_NIFTY_JUNIOR
2011-01-25,11463.85,11546.75,11370.5,11383.7,71701227.0,1588.12,NSE/CNX_NIFTY_JUNIOR
2011-01-27,11404.7,11446.7,11094.4,11120.35,109510799.0,2240.93,NSE/CNX_NIFTY_JUNIOR
2011-01-28,11125.15,11125.15,10711.0,10854.85,111827794.0,2380.41,NSE/CNX_NIFTY_JUNIOR
2011-01-31,10767.7,10945.9,10604.15,10915.65,115722891.0,2326.94,NSE/CNX_NIFTY_JUNIOR
2011-02-01,10927.8,10990.9,10702.6,10737.05,78531687.0,1665.62,NSE/CNX_NIFTY_JUNIOR
2011-02-02,10815.85,10856.0,10713.6,10741.75,79290367.0,1609.8,NSE/CNX_NIFTY_JUNIOR
2011-02-03,10741.4,10881.4,10708.7,10870.35,80437599.0,1581.66,NSE/CNX_NIFTY_JUNIOR
2011-02-04,10884.7,10987.6,10693.6,10727.85,91563595.0,1757.61,NSE/CNX_NIFTY_JUNIOR
2011-02-07,10726.65,10804.65,10665.3,10688.1,66660563.0,1246.53,NSE/CNX_NIFTY_JUNIOR
2011-02-08,10701.85,10736.7,10429.45,10452.6,101551375.0,1839.54,NSE/CNX_NIFTY_JUNIOR
