Date,Open,High,Low,Close,SharesTraded,Turnover,index
2008-01-31,,,,1048.72,,,NSE/CNXDIVIDENDOPPT
2008-02-01,,,,1072.53,,,NSE/CNXDIVIDENDOPPT
2008-02-04,,,,1118.71,,,NSE/CNXDIVIDENDOPPT
2008-02-05,,,,1117.46,,,NSE/CNXDIVIDENDOPPT
2008-02-06,,,,1096.5,,,NSE/CNXDIVIDENDOPPT
2008-02-07,,,,1063.54,,,NSE/CNXDIVIDENDOPPT
2008-02-08,,,,1055.07,,,NSE/CNXDIVIDENDOPPT
2008-02-11,,,,1012.04,,,NSE/CNXDIVIDENDOPPT
2008-02-12,,,,1000.42,,,NSE/CNXDIVIDENDOPPT
2008-02-13,,,,1014.87,,,NSE/CNXDIVIDENDOPPT
2008-02-14,,,,1051.05,,,NSE/CNXDIVIDENDOPPT
2008-02-15,,,,1076.92,,,NSE/CNXDIVIDENDOPPT
2008-02-18,,,,1084.65,,,NSE/CNXDIVIDENDOPPT
2008-02-19,,,,1089.54,,,NSE/CNXDIVIDENDOPPT
2008-02-20,,,,1058.06,,,NSE/CNXDIVIDENDOPPT
2008-02-21,,,,1066.93,,,NSE/CNXDIVIDENDOPPT
2008-02-22,,,,1057.36,,,NSE/CNXDIVIDENDOPPT
2008-02-25,,,,1071.75,,,NSE/CNXDIVIDENDOPPT
2008-02-26,,,,1085.63,,,NSE/CNXDIVIDENDOPPT
2008-02-27,,,,1088.94,,,NSE/CNXDIVIDENDOPPT
2008-02-28,,,,1098.72,,,NSE/CNXDIVIDENDOPPT
2008-02-29,,,,1092.05,,,NSE/CNXDIVIDENDOPPT
2008-03-03,,,,1062.17,,,NSE/CNXDIVIDENDOPPT
2008-03-04,,,,1051.71,,,NSE/CNXDIVIDENDOPPT
2008-03-05,,,,1049.35,,,NSE/CNXDIVIDENDOPPT
2008-03-07,,,,1022.29,,,NSE/CNXDIVIDENDOPPT
2008-03-10,,,,1027.31,,,NSE/CNXDIVIDENDOPPT
2008-03-11,,,,1042.5,,,NSE/CNXDIVIDENDOPPT
2008-03-12,,,,1035.34,,,NSE/CNXDIVIDENDOPPT
2008-03-13,,,,984.95,,,NSE/CNXDIVIDENDOPPT
2008-03-14,,,,996.0,,,NSE/CNXDIVIDENDOPPT
2008-03-17,,,,931.37,,,NSE/CNXDIVIDENDOPPT
2008-03-18,,,,928.5,,,NSE/CNXDIVIDENDOPPT
2008-03-19,,,,940.08,,,NSE/CNXDIVIDENDOPPT
2008-03-24,,,,934.02,,,NSE/CNXDIVIDENDOPPT
2008-03-25,,,,981.09,,,NSE/CNXDIVIDENDOPPT
2008-03-26,,,,976.18,,,NSE/CNXDIVIDENDOPPT
2008-03-27,,,,965.9,,,NSE/CNXDIVIDENDOPPT
2008-03-28,,,,995.91,,,NSE/CNXDIVIDENDOPPT
2008-03-31,,,,959.94,,,NSE/CNXDIVIDENDOPPT
2008-04-01,,,,950.94,,,NSE/CNXDIVIDENDOPPT
2008-04-02,,,,952.33,,,NSE/CNXDIVIDENDOPPT
2008-04-03,,,,952.16,,,NSE/CNXDIVIDENDOPPT
2008-04-04,,,,934.34,,,NSE/CNXDIVIDENDOPPT
2008-04-07,,,,954.03,,,NSE/CNXDIVIDENDOPPT
2008-04-08,,,,946.03,,,NSE/CNXDIVIDENDOPPT
2008-04-09,,,,954.32,,,NSE/CNXDIVIDENDOPPT
2008-04-10,,,,953.37,,,NSE/CNXDIVIDENDOPPT
2008-04-11,,,,959.49,,,NSE/CNXDIVIDENDOPPT
2008-04-15,,,,967.83,,,NSE/CNXDIVIDENDOPPT
2008-04-16,,,,978.31,,,NSE/CNXDIVIDENDOPPT
2008-04-17,,,,996.5,,,NSE/CNXDIVIDENDOPPT
2008-04-21,,,,1015.53,,,NSE/CNXDIVIDENDOPPT
2008-04-22,,,,1025.11,,,NSE/CNXDIVIDENDOPPT
2008-04-23,,,,1025.29,,,NSE/CNXDIVIDENDOPPT
2008-04-24,,,,1020.01,,,NSE/CNXDIVIDENDOPPT
2008-04-25,,,,1033.37,,,NSE/CNXDIVIDENDOPPT
